sku,three_d_template,three_d_type,three_d_shape,three_d_size,three_d_colour,numLang,fh_colour
SP_AML_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_ASHW_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_BAO_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_BEE_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_BEE_GR_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_BILBERRY_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_BIRCH_50g,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_CAC_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_CHIA_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_CINN_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_COLL-V-C_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_FENU_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_FLAX_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_GLY_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_GOTU_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_HMP-PR_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_HSK_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_INUL_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_L_THYME_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_LAVEN_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_LION_M_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_LM-BAL_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_MAC_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_NEEM_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_NMN_M_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_OAT_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_ORG-PR_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_P-PROT_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_PUER-MIR_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_RSP-KT_50G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_SPIN_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_TONGKAT_50g,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_TRIP_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
SP_TURM_100G,fh-powder,powder,coarse,0,#ffffff,5,#ffee99
