sku,template,type,shape,colour,size,numLang,rs_colour
S_APR-KERN-CP_2500MG_120_130G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_APR-KERN-CP_2500MG_60_75G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_APR-KERN-CP_2500MG_90_100G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_ASH-CP_8000MG_60_65G_M,fh-captab,CP,OB,#6b4207,20,5,
S_BERB-CP_500MG_60_60G,fh-captab,CP,OB,#cc8604,20,5,
S_COL-BOV-CP_400MG_60_30G_M,fh-captab,CP,OB,#faf8bb,20,5,
S_COL_MAR_CP_400MG_60_30G_M,fh-captab,CP,OB,#faf8bb,20,5,
S_CREAT-CP_750MG_60_50G_M,fh-captab,CP,OB,#ffffff,23,5,
S_D-MANN-CP_0_60_45G_M,fh-captab,CP,OB,#ffffff,20,5,
S_DET-BLND-CP_0_60_45G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_FIB-PRO-CP_0_60_50G_M,fh-captab,CP,OB,#ffffff,20,5,
S_GARCIN-CP_1500MG_60_50G_M,fh-captab,CP,OB,#faf8bb,23,5,
S_GNR-COFF-CP_1000MG_60_60G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_GRN-TEA-CP_2000MG_60_50G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_HSK-CP_750MG_60_65G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_L-CIT-CP_500MG_60_35G_M,fh-captab,CP,OB,#ffffff,20,5,
S_MAGNESM-CP_600MG_60_50G_M,fh-captab,CP,OB,#ffffff,20,5,
S_MUSH-VIT-D-CP_620MG_60_60G_M,fh-captab,CP,OB,#cfb68c,23,5,
S_POMEG-CP_4000MG_60_40G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_PUER-MIR-CP_6000MG_60_55G_M,fh-captab,CP,OB,#6b4207,20,5,
S_RASP-KET-CP_1000MG_60_40G_M,fh-captab,CP,OB,#ffffff,20,5,
S_S-MOSS-CP_2000MG_60_50G_M,fh-captab,CP,OB,#cfb68c,20,5,
S_SUP-MUSHROOM-CP_620MG_60_60G_M,fh-captab,CP,OB,#6b4207,20,5,
S_TONG-CP_620MG_60_65G_M,fh-captab,CP,OB,#cfb68c,23,5,
S_TRIB-CP_6750MG_60_65G_M,fh-captab,CP,OB,#6b4207,20,5,
S_TURM-PEPP-CP_500MG_60_40G_M,fh-captab,CP,OB,#cc8604,20,5,
