sku,template,type,shape,colour,size,numLang,rs_colour
SP_AML_100G,fh-powder,PO,,#a6803f,,5,
SP_ASHW_100G,fh-powder,PO,,#947237,,5,
SP_BEE_GR_100G,fh-powder,PO,,#fabd05,,5,
SP_BILBERRY_50G,fh-powder,PO,,#45522d,,5,
SP_BIRCH_50g,fh-powder,PO,,#45522d,,5,
SP_CAC_100G,fh-powder,PO,,#704a08,,5,
SP_CHIA_100G,fh-powder,PO,,#151517,,5,
SP_CINN_100G,fh-powder,PO,,#875601,,5,
SP_COLL-M_50G,fh-powder,PO,,#ffffff,,5,
SP_COLL-V-C_100G,fh-powder,PO,,#4287f6,,5,
SP_FENU_100G,fh-powder,PO,,#a6803f,,5,
SP_FLAX_100G,fh-powder,PO,,#947237,,5,
SP_GLY_100G,fh-powder,PO,,#ffffff,,5,
SP_GOTU_100G,fh-powder,PO,,#a6803f,,5,
SP_HMP-PR_100G,fh-powder,PO,,#0d5202,,5,
SP_HSK_100G,fh-powder,PO,,#ba9554,,5,
SP_INUL_100G,fh-powder,PO,,#ffffff,,5,
SP_LAVEN_50G,fh-powder,PO,,#383240,,5,
SP_LION_M_50G,fh-powder,PO,,#9e6d19,,5,
SP_LM-BAL_50G,fh-powder,PO,,#45522d,,5,
SP_L_THYME_50G,fh-powder,PO,,#45522d,,5,
SP_MAC_100G,fh-powder,PO,,#a6803f,,5,
SP_NEEM_100G,fh-powder,PO,,#687a45,,5,
SP_NMN_M_50G,fh-powder,PO,,#ffffff,,5,
SP_OAT_100G,fh-powder,PO,,#c2af8f,,5,
SP_ORG-PR_100G,fh-powder,PO,,#fce2b3,,5,
SP_P-PROT_100G,fh-powder,PO,,#a6803f,,5,
SP_PUER-MIR_50G,fh-powder,PO,,#ebd9b9,,5,
SP_RSP-KT_50G,fh-powder,PO,,#876427,,5,
SP_SPIN_100G,fh-powder,PO,,#375400,,5,
SP_TONGKAT_50g,fh-powder,PO,,#a6803f,,5,
SP_TRANS_RES_M_50G,fh-powder,PO,,#ffffff,,5,
SP_TRIP_100G,fh-powder,PO,,#e6c58c,,5,
SP_TURM_100G,fh-powder,PO,,#fabd05,,5,
