sku,template,type,shape,colour,size,numLang,rs_colour
S_VALE-TB_0_120_40G_M,fh-captab,TB,RO,#cfb68c,6,5,
S_VIT-A-D3-TB_4500IU_120_40G,fh-captab,TB,RO,#ffffff,6,5,
S_VIT-C-TB_500MG_120_85G_M,fh-captab,TB,OB,#cfb68c,17,5,
S_VIT-D3-K2_5000IU_120_50G_M,fh-captab,TB,RO,#ffffff,6,5,
S_VIT-D3-TB_1000IU_120_50G_M,fh-captab,TB,RO,#ffffff,6,5,
S_VITC-ZNC-TB_100MG_120_75G_M,fh-captab,TB,RO,#ffffff,10,5,
S_WD-YAM-TB_500MG_120_60G_M,fh-captab,TB,RO,#fcfbd9,6,5,
S_WHT-KID-TB_5000MG_120_70G_M,fh-captab,TB,RO,#ffffff,10,5,
S_ZINC-MAG-TB_0_120_85G_M,fh-captab,TB,RO,#ffffff,9,5,
S_ZNC-TB_100MG_120_55G_M,fh-captab,TB,RO,#ffffff,10,5,
S_ZNC-TB_50MG_120_25G_S,fh-captab,TB,RO,#ffffff,6,5,
