sku,three_d_template,three_d_type,three_d_shape,three_d_size,three_d_colour,numLang,rs_colour
RS_OMG-3-SG_1000MG_60_95G_M,rs-captab,softgel,oval,26,#e3c102,5,Recovery
RS_CAF-TB_200MG_120_90G_M,rs-captab,tablet,round,10,#ffffff,5,Maintenance
RS_WHT-KID-TB_5000MG_120_70G_M,rs-captab,tablet,round,10,#ffffff,5,Maintenance
RS_ZINC-MAG-TB_0_120_85G_M,rs-captab,tablet,round,9,#ffffff,5,Maintenance
RS_AAKG-CP_500MG_60_50G_M,rs-captab,capsule,oblong,20,#ffffff,5,Performance
RS_CREAT-CP_750MG_60_50G_M,rs-captab,capsule,oblong,23,#ffffff,5,Maintenance
RS_L-ARG-CP_500MG_60_60G_M,rs-captab,capsule,oblong,20,#ffffff,5,Performance
RS_RASP-KET-CP_1000MG_60_40G_M,rs-captab,capsule,oblong,20,#ffffff,5,Maintenance
RS_COL-BOV-CP_400MG_60_60G_M,rs-captab,capsule,oblong,20,#faf8bb,5,Recovery
RS_TONG-CP_620MG_60_65G_M,rs-captab,capsule,oblong,23,#cfb68c,5,Performance
RS_TRIB-CP_6750MG_60_65G_M,rs-captab,capsule,oblong,20,#6b4207,5,Performance
