sku,template,type,shape,colour,size,numLang,rs_colour
S_5HTP-TB_200MG_120_60G_M,fh-captab,TB,RO,#cfb68c,6,5,
S_ACIDOP-1B-TB_0_120_40G_M,fh-captab,TB,RO,#ffffff,6,5,
S_AFR-MAN-TB_1200MG_60_20G_S,fh-captab,TB,RO,#cfb68c,10,5,
S_ALOE-V-TB_10000MG_120_64G_M,fh-captab,TB,RO,#ffffff,10,5,
S_ASHWAG-TB_600MG_120_75G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_B-COMP-TB_0_120_25G_S,fh-captab,TB,RO,#edd968,6,5,
S_B12-TB_1000MG_120_40G_M,fh-captab,TB,RO,#fcdeef,6,5,
S_BACCOA-TB_0_120_40G_S,fh-captab,TB,RO,#ffffff,6,5,
S_BIO-COP-ZNC-TB_0_120_32G_S,fh-captab,TB,RO,#6b4207,6,5,
S_BLK-COH-TB_100MG_120,fh-captab,TB,RO,#6b4207,6,5,
S_CAL-MAG-D3-TB_0_60_91G_M,fh-captab,TB,OB,#ffffff,20,5,
S_CHROM-TB_1MG_120_25G_S,fh-captab,TB,RO,#fcdeef,6,5,
S_CINN-TB_3000MG_120_52G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_COPP-TB_1000MCG_120_25G_S,fh-captab,TB,RO,#6b4207,6,5,
S_CRAN-TB_120000MG_120_70G_M,fh-captab,TB,RO,#854458,10,5,
S_ELC-TB_200MG_120_100G_M,fh-captab,TB,RO,#ffffff,10,5,
S_GING-TB_1000MG_120_30G_S,fh-captab,TB,RO,#faf8bb,6,5,
S_GINK-GINS-TB_3000MG_120_70G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_GINKGO-TB_6000MG_120_45G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_GRN-TEA-TB_2000MG_120_55G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_GRP-SED-TB_12000MG_120_60G_M,fh-captab,TB,RO,#6b4207,10,5,
S_HRN-GT-WD-TB_1250MG_120_70G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_IOD-KLP-TB_150MCG_120_25G_S,fh-captab,TB,RO,#cfb68c,6,5,
S_IRON-TB_14MG_120_25G_S,fh-captab,TB,RO,#6b4207,6,5,
S_KOR-GINS-TB_3125MG_120_55G_M,fh-captab,TB,RO,#faf8bb,10,5,
S_MAC-TB_500MG_120_30G_S,fh-captab,TB,RO,#cfb68c,6,5,
S_MAQUI-TB_2000MG_120_75G_M,fh-captab,TB,RO,#fcdeef,10,5,
S_MILK_TH_TB_2000MG_120_70G_M,fh-captab,TB,RO,#faf8bb,10,5,
S_MULTI-VIT-TB_0_120_40G_M,fh-captab,TB,RO,#ffd24d,8,5,
S_NET-LF-TB_200MG_120_25G_S,fh-captab,TB,RO,#cfb68c,6,5,
S_PUER-MIR-TB_2500MG_120_70G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_RD-CLOV-TB_1000MG_120_60G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_SAG-LF-TB_500MG_120_60G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_SAW-PAL-TB_3000MG_120_60G_M,fh-captab,TB,RO,#faf8bb,10,5,
S_SEL-ZNC-TB_200MCG_120_70G_M,fh-captab,TB,RO,#faf8bb,6,5,
S_SPIR-TB_500MG_120_70G_M,fh-captab,TB,RO,#013304,12,5,
S_ST_JohnsW_1000MG_120_80G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_TRIB-TB_2000MG_120_110G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_TURM-PEPP-TB_1500MG_120_25G_S,fh-captab,TB,RO,#ffc73b,6,5,
S_VALE-TB_0_120_40G_M,fh-captab,TB,RO,#cfb68c,6,5,
S_VIT-A-D3-TB_4500IU_120_40G,fh-captab,TB,RO,#ffffff,6,5,
S_VIT-C-TB_500MG_120_85G_M,fh-captab,TB,OB,#cfb68c,17,5,
S_VIT-D3-K2_5000IU_120_50G_M,fh-captab,TB,RO,#ffffff,6,5,
S_VIT-D3-TB_1000IU_120_50G_M,fh-captab,TB,RO,#ffffff,6,5,
S_VITC-ZNC-TB_100MG_120_75G_M,fh-captab,TB,RO,#ffffff,10,5,
S_WD-YAM-TB_500MG_120_60G_M,fh-captab,TB,RO,#fcfbd9,6,5,
S_WHT-KID-TB_5000MG_120_70G_M,fh-captab,TB,RO,#ffffff,10,5,
S_ZINC-MAG-TB_0_120_85G_M,fh-captab,TB,RO,#ffffff,9,5,
S_ZNC-TB_100MG_120_55G_M,fh-captab,TB,RO,#ffffff,10,5,
S_ZNC-TB_50MG_120_25G_S,fh-captab,TB,RO,#ffffff,6,5,
